sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,excluded_for_nutrient_ratios_analyses,excluded_for_total_bait_occupancy_analysis
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H001-A,217,-5.73702,145.33487,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H002-A,212,-5.73701,145.33489,CHO + Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H003-A,209,-5.73693,145.33468,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
LEPM001,Dolichoderinae,Leptomyrmex,Generalistic,PNG,PNG_200m,200,1,200-FP-H004-A,212,-5.73691,145.33465,CHO,26,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H004-A,212,-5.73691,145.33465,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
PHEI008,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,1,200-FP-H005-A,212,-5.73692,145.33459,Lipid,63,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
TETR003,Myrmicinae,Tetramorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H005-A,212,-5.73692,145.33459,Lipid,2,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H006-A,212,-5.73697,145.33463,Amino Acid,2,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H007-A,214,-5.73679,145.33447,CHO + Amino Acid,34,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H008-A,211,-5.73671,145.33439,Lipid,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM001,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H009-A,213,-5.73664,145.33438,CHO,98,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H010-A,205,-5.73656,145.3344,CHO + Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H011-A,205,-5.73646,145.33441,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H012-A,203,-5.73635,145.33453,NaCl,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H013-A,209,-5.73633,145.3345,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H014-A,214,-5.73633,145.33449,CHO + Amino Acid,2,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H015-A,215,-5.73611,145.33434,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H016-A,216,-5.73593,145.33442,Lipid,5,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H017-A,220,-5.73594,145.3343,H2O,2,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H018-A,221,-5.7359,145.33431,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
LEPM002,Dolichoderinae,Leptomyrmex,Generalistic,PNG,PNG_200m,200,1,200-FP-H019-A,219,-5.7359,145.3343,NaCl,6,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
RHYT001,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H020-A,223,-5.73586,145.33421,CHO + Amino Acid,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H021-A,225,-5.73584,145.33422,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CARE007,Myrmicinae,Carebara,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H022-A,224,-5.73573,145.33411,Lipid,504,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
CREM003,Myrmicinae,Crematogaster,Generalistic,PNG,PNG_200m,200,1,200-FP-H023-A,223,-5.73574,145.33407,H2O,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
MONO003,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,1,200-FP-H024-A,224,-5.73558,145.33414,NaCl,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H025-A,223,-5.73554,145.33403,NaCl,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
LEPM001,Dolichoderinae,Leptomyrmex,Generalistic,PNG,PNG_200m,200,1,200-FP-H026-A,218,-5.73547,145.33395,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
RHYT001,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,1,200-FP-H026-A,218,-5.73547,145.33395,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H027-A,221,-5.7353,145.33391,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H028-A,220,-5.73523,145.33386,Lipid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H029-A,223,-5.73529,145.33372,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,1,200-FP-H030-A,224,-5.73517,145.33368,NaCl,0,Dry,24-Jun-2012,Natural rainforest,60,200_1,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H031-A,236,-5.73556,145.33302,H2O,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H032-A,235,-5.73556,145.33301,Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H033-A,239,-5.73546,145.33262,NaCl,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H034-A,241,-5.73532,145.33274,Lipid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
RHYT002,Ectatomminae,Rhytidoponera,Predator/Scavenger,PNG,PNG_200m,200,2,200-FP-H035-A,236,-5.73538,145.33252,CHO,6,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,2,200-FP-H036-A,241,-5.73526,145.33254,CHO + Amino Acid,11,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI019,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H036-A,241,-5.73526,145.33254,CHO + Amino Acid,3,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
MONO002,Myrmicinae,Monomorium,Generalistic,PNG,PNG_200m,200,2,200-FP-H037-A,236,-5.73525,145.33244,NaCl,2,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PARA005,Formicinae,Nylanderia,Generalistic,PNG,PNG_200m,200,2,200-FP-H038-A,241,-5.7352,145.33236,H2O,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI008,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H039-A,241,-5.73523,145.33228,Lipid,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
NA,NA,NA,NA,PNG,PNG_200m,200,2,200-FP-H040-A,243,-5.73519,145.33216,CHO + Amino Acid,0,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
PHEI008,Myrmicinae,Pheidole,Generalistic,PNG,PNG_200m,200,2,200-FP-H041-A,246,-5.7352,145.33211,CHO,1,Dry,24-Jun-2012,Natural rainforest,60,200_2,NO,NO
