regions,seasons,et_pcode,n_occurecnes,n_species,n_abundance
png,dry,200_1,20,11,753
png,dry,200_2,27,10,85
png,wet,200_1,41,14,283
png,wet,200_2,35,14,916
png,dry,700_1,10,8,108
png,dry,700_2,13,9,50
png,wet,700_1,30,16,222
png,wet,700_2,28,18,325
png,dry,1200_1,18,9,98
png,dry,1200_2,11,8,201
png,wet,1200_1,27,13,373
png,wet,1200_2,30,14,605
png,dry,1700_1,12,3,62
png,dry,1700_2,5,4,20
png,wet,1700_1,20,6,201
png,wet,1700_2,14,8,100
png,dry,2200_1,5,2,18
png,dry,2200_2,8,6,36
png,wet,2200_1,7,2,13
png,wet,2200_2,8,4,15
png,dry,2700_1,2,1,3
png,dry,2700_2,1,1,1
png,wet,2700_1,0,0,0
png,wet,2700_2,0,0,0
png,dry,3200_1,0,0,0
png,dry,3200_2,0,0,0
png,wet,3200_1,0,0,0
png,wet,3200_2,0,0,0
png,dry,3700_1,0,0,0
png,dry,3700_2,0,0,0
png,wet,3700_1,0,0,0
png,wet,3700_2,0,0,0
ecuador,wet,1000_10,17,12,235
ecuador,dry,1000_10,31,16,294
ecuador,wet,1000_20,16,13,160
ecuador,dry,1000_20,31,19,115
ecuador,wet,1000_30,10,6,46
ecuador,dry,1000_30,34,17,550
ecuador,wet,1500_10,12,9,105
ecuador,dry,1500_10,20,8,168
ecuador,wet,1500_20,12,6,86
ecuador,dry,1500_20,23,8,124
ecuador,wet,1500_30,12,6,29
ecuador,dry,1500_30,21,9,197
ecuador,wet,2000_10,16,7,55
ecuador,dry,2000_10,10,7,40
ecuador,wet,2000_20,4,4,41
ecuador,dry,2000_20,5,4,21
ecuador,wet,2000_30,15,8,142
ecuador,dry,2000_30,10,10,46
ecuador,wet,2500_10,7,3,34
ecuador,dry,2500_10,6,3,14
ecuador,wet,2500_20,8,2,50
ecuador,dry,2500_20,13,5,33
ecuador,wet,2500_30,2,2,15
ecuador,dry,2500_30,4,3,8
ecuador,wet,3000_10,2,2,3
ecuador,dry,3000_10,0,0,0
ecuador,wet,3000_20,1,1,1
ecuador,dry,3000_20,0,0,0
ecuador,wet,3000_30,1,1,1
ecuador,dry,3000_30,0,0,0
tanzania,dry,3849_1,0,0,0
tanzania,dry,3830_1,0,0,0
tanzania,dry,1920_1,26,5,100
tanzania,wet,1800_1,2,2,2
tanzania,wet,1620_1,19,3,70
tanzania,wet,1650_1,3,2,3
tanzania,dry,2020_1,5,3,41
tanzania,wet,2040_1,4,3,26
tanzania,wet,2120_1,0,0,0
tanzania,wet,2260_1,0,0,0
tanzania,wet,2850_1,0,0,0
tanzania,dry,2720_1,0,0,0
tanzania,dry,871_1,26,8,3729
tanzania,wet,912_1,21,7,1076
tanzania,dry,1130_1,16,5,116
tanzania,wet,993_1,22,12,187
tanzania,wet,950_1,27,12,1096
