regions,seasons,et_pcode,bait_type,n_occurecnes,max_occurecnes,rel_occurences,n_abundance,max_abundance,rel_abundance
ecuador,dry,1000_10,amino_acid,2,8,0.25,2,153,0.22
ecuador,dry,1000_10,cho,6,8,0.75,18,153,0.58
ecuador,dry,1000_10,cho_amino_acid,7,8,0.875,95,153,0.91
ecuador,dry,1000_10,h2o,1,8,0.125,1,153,0.14
ecuador,dry,1000_10,lipid,7,8,0.875,153,153,1
ecuador,dry,1000_10,nacl,8,8,1,25,153,0.65
ecuador,dry,1000_20,amino_acid,6,8,0.75,9,46,0.6
ecuador,dry,1000_20,cho,7,8,0.875,34,46,0.92
ecuador,dry,1000_20,cho_amino_acid,8,8,1,23,46,0.83
ecuador,dry,1000_20,h2o,1,8,0.125,1,46,0.18
ecuador,dry,1000_20,lipid,8,8,1,46,46,1
ecuador,dry,1000_20,nacl,1,8,0.125,2,46,0.29
ecuador,dry,1000_30,amino_acid,2,12,0.16666666666666666,3,192,0.26
ecuador,dry,1000_30,cho,8,12,0.6666666666666666,162,192,0.97
ecuador,dry,1000_30,cho_amino_acid,12,12,1,44,192,0.72
ecuador,dry,1000_30,h2o,1,12,0.08333333333333333,1,192,0.13
ecuador,dry,1000_30,lipid,6,12,0.5,148,192,0.95
ecuador,dry,1000_30,nacl,5,12,0.4166666666666667,192,192,1
ecuador,dry,1500_10,amino_acid,1,4,0.25,3,81,0.31
ecuador,dry,1500_10,cho,4,4,1,15,81,0.63
ecuador,dry,1500_10,cho_amino_acid,4,4,1,43,81,0.86
ecuador,dry,1500_10,h2o,4,4,1,8,81,0.5
ecuador,dry,1500_10,lipid,3,4,0.75,81,81,1
ecuador,dry,1500_10,nacl,4,4,1,18,81,0.67
ecuador,dry,1500_20,amino_acid,3,6,0.5,4,43,0.43
ecuador,dry,1500_20,cho,6,6,1,33,43,0.93
ecuador,dry,1500_20,cho_amino_acid,4,6,0.6666666666666666,25,43,0.86
ecuador,dry,1500_20,h2o,1,6,0.16666666666666666,8,43,0.58
ecuador,dry,1500_20,lipid,5,6,0.8333333333333334,43,43,1
ecuador,dry,1500_20,nacl,4,6,0.6666666666666666,11,43,0.66
ecuador,dry,1500_30,cho,5,7,0.7142857142857143,19,122,0.62
ecuador,dry,1500_30,cho_amino_acid,2,7,0.2857142857142857,8,122,0.46
ecuador,dry,1500_30,h2o,1,7,0.14285714285714285,1,122,0.14
ecuador,dry,1500_30,lipid,6,7,0.8571428571428571,122,122,1
ecuador,dry,1500_30,nacl,7,7,1,47,122,0.8
ecuador,dry,2000_10,amino_acid,4,4,1,11,14,0.92
ecuador,dry,2000_10,cho_amino_acid,2,4,0.5,13,14,0.97
ecuador,dry,2000_10,lipid,2,4,0.5,14,14,1
ecuador,dry,2000_10,nacl,2,4,0.5,2,14,0.41
ecuador,dry,2000_20,amino_acid,3,3,1,17,17,1
ecuador,dry,2000_20,cho_amino_acid,1,3,0.3333333333333333,2,17,0.38
ecuador,dry,2000_20,lipid,1,3,0.3333333333333333,2,17,0.38
ecuador,dry,2000_30,amino_acid,4,4,1,9,19,0.77
ecuador,dry,2000_30,cho,1,4,0.25,1,19,0.23
ecuador,dry,2000_30,cho_amino_acid,1,4,0.25,16,19,0.95
ecuador,dry,2000_30,lipid,3,4,0.75,19,19,1
ecuador,dry,2000_30,nacl,1,4,0.25,1,19,0.23
ecuador,dry,2500_10,amino_acid,1,3,0.3333333333333333,4,7,0.77
ecuador,dry,2500_10,cho_amino_acid,1,3,0.3333333333333333,2,7,0.53
ecuador,dry,2500_10,lipid,1,3,0.3333333333333333,1,7,0.33
ecuador,dry,2500_10,nacl,3,3,1,7,7,1
ecuador,dry,2500_20,amino_acid,1,4,0.25,2,13,0.42
ecuador,dry,2500_20,cho,3,4,0.75,13,13,1
ecuador,dry,2500_20,cho_amino_acid,4,4,1,4,13,0.61
ecuador,dry,2500_20,h2o,1,4,0.25,3,13,0.53
ecuador,dry,2500_20,nacl,4,4,1,11,13,0.94
ecuador,dry,2500_30,cho,1,2,0.5,1,5,0.39
ecuador,dry,2500_30,cho_amino_acid,1,2,0.5,5,5,1
ecuador,dry,2500_30,nacl,2,2,1,2,5,0.61
ecuador,wet,1000_10,amino_acid,1,6,0.16666666666666666,1,129,0.14
ecuador,wet,1000_10,cho,5,6,0.8333333333333334,129,129,1
ecuador,wet,1000_10,cho_amino_acid,4,6,0.6666666666666666,6,129,0.4
ecuador,wet,1000_10,lipid,6,6,1,76,129,0.89
ecuador,wet,1000_10,nacl,1,6,0.16666666666666666,23,129,0.65
ecuador,wet,1000_20,cho,3,7,0.42857142857142855,8,88,0.49
ecuador,wet,1000_20,cho_amino_acid,7,7,1,44,88,0.85
ecuador,wet,1000_20,lipid,5,7,0.7142857142857143,88,88,1
ecuador,wet,1000_20,nacl,1,7,0.14285714285714285,20,88,0.68
ecuador,wet,1000_30,cho,3,4,0.75,15,25,0.85
ecuador,wet,1000_30,cho_amino_acid,1,4,0.25,3,25,0.43
ecuador,wet,1000_30,h2o,1,4,0.25,2,25,0.34
ecuador,wet,1000_30,lipid,4,4,1,25,25,1
ecuador,wet,1000_30,nacl,1,4,0.25,1,25,0.21
ecuador,wet,1500_10,cho,3,5,0.6,9,84,0.52
ecuador,wet,1500_10,cho_amino_acid,2,5,0.4,6,84,0.44
ecuador,wet,1500_10,lipid,5,5,1,84,84,1
ecuador,wet,1500_10,nacl,2,5,0.4,6,84,0.44
ecuador,wet,1500_20,cho,4,4,1,9,37,0.63
ecuador,wet,1500_20,cho_amino_acid,3,4,0.75,31,37,0.95
ecuador,wet,1500_20,lipid,2,4,0.5,37,37,1
ecuador,wet,1500_20,nacl,3,4,0.75,9,37,0.63
ecuador,wet,1500_30,cho,4,4,1,11,11,1
ecuador,wet,1500_30,cho_amino_acid,2,4,0.5,6,11,0.78
ecuador,wet,1500_30,h2o,1,4,0.25,1,11,0.28
ecuador,wet,1500_30,lipid,2,4,0.5,2,11,0.44
ecuador,wet,1500_30,nacl,3,4,0.75,9,11,0.93
ecuador,wet,2000_10,cho,4,6,0.6666666666666666,11,33,0.7
ecuador,wet,2000_10,cho_amino_acid,5,6,0.8333333333333334,10,33,0.68
ecuador,wet,2000_10,h2o,1,6,0.16666666666666666,1,33,0.2
ecuador,wet,2000_10,lipid,6,6,1,33,33,1
ecuador,wet,2000_20,cho,2,2,1,37,37,1
ecuador,wet,2000_20,cho_amino_acid,1,2,0.5,3,37,0.38
ecuador,wet,2000_20,nacl,1,2,0.5,1,37,0.19
ecuador,wet,2000_30,cho,6,6,1,34,99,0.77
ecuador,wet,2000_30,cho_amino_acid,4,6,0.6666666666666666,6,99,0.42
ecuador,wet,2000_30,h2o,1,6,0.16666666666666666,1,99,0.15
ecuador,wet,2000_30,lipid,3,6,0.5,99,99,1
ecuador,wet,2000_30,nacl,1,6,0.16666666666666666,2,99,0.24
ecuador,wet,2500_10,amino_acid,1,3,0.3333333333333333,23,23,1
ecuador,wet,2500_10,cho,3,3,1,5,23,0.56
ecuador,wet,2500_10,h2o,3,3,1,6,23,0.61
ecuador,wet,2500_20,amino_acid,1,3,0.3333333333333333,11,28,0.74
ecuador,wet,2500_20,cho,3,3,1,9,28,0.68
ecuador,wet,2500_20,cho_amino_acid,3,3,1,28,28,1
ecuador,wet,2500_20,lipid,1,3,0.3333333333333333,2,28,0.33
png,dry,1200_1,cho,6,6,1,26,35,0.92
png,dry,1200_1,cho_amino_acid,2,6,0.3333333333333333,35,35,1
png,dry,1200_1,h2o,3,6,0.5,13,35,0.74
png,dry,1200_1,lipid,4,6,0.6666666666666666,19,35,0.84
png,dry,1200_1,nacl,3,6,0.5,5,35,0.5
png,dry,1200_2,cho,5,5,1,44,154,0.75
png,dry,1200_2,lipid,5,5,1,154,154,1
png,dry,1200_2,nacl,1,5,0.2,3,154,0.27
png,dry,1700_1,amino_acid,2,5,0.4,3,41,0.37
png,dry,1700_1,cho,5,5,1,8,41,0.59
png,dry,1700_1,cho_amino_acid,2,5,0.4,7,41,0.56
