sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,exl_food_pref,excl_occupancy
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_001_a,217,-5.73702,145.33487,h2o,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_002_a,212,-5.73701,145.33489,cho_amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_003_a,209,-5.73693,145.33468,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
lepm_001,dolichoderinae,leptomyrmex,generalistic,png,png_200_m,200,1,200_fp_h_004_a,212,-5.73691,145.33465,cho,26,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_004_a,212,-5.73691,145.33465,cho,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_008,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_005_a,212,-5.73692,145.33459,lipid,63,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
tetr_003,myrmicinae,tetramorium,generalistic,png,png_200_m,200,1,200_fp_h_005_a,212,-5.73692,145.33459,lipid,2,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_006_a,212,-5.73697,145.33463,amino_acid,2,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_007_a,214,-5.73679,145.33447,cho_amino_acid,34,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_008_a,211,-5.73671,145.33439,lipid,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_001,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_009_a,213,-5.73664,145.33438,cho,98,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_010_a,205,-5.73656,145.3344,cho_amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_011_a,205,-5.73646,145.33441,h2o,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_012_a,203,-5.73635,145.33453,nacl,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_013_a,209,-5.73633,145.3345,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,1,200_fp_h_014_a,214,-5.73633,145.33449,cho_amino_acid,2,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_015_a,215,-5.73611,145.33434,cho,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_016_a,216,-5.73593,145.33442,lipid,5,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,1,200_fp_h_017_a,220,-5.73594,145.3343,h2o,2,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,1,200_fp_h_018_a,221,-5.7359,145.33431,amino_acid,0,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
lepm_002,dolichoderinae,leptomyrmex,generalistic,png,png_200_m,200,1,200_fp_h_019_a,219,-5.7359,145.3343,nacl,6,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
rhyt_001,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,1,200_fp_h_020_a,223,-5.73586,145.33421,cho_amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_021_a,225,-5.73584,145.33422,cho,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
care_007,myrmicinae,carebara,predator_scavenger,png,png_200_m,200,1,200_fp_h_022_a,224,-5.73573,145.33411,lipid,504,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_023_a,223,-5.73574,145.33407,h2o,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_003,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_024_a,224,-5.73558,145.33414,nacl,1,dry,24_jun_2012,natural_rainforest,60,200_1,FALSE,FALSE
