regions,seasons,et_pcode,n_abund_generalistic,n_abund_herbivorous_trophobiotic,n_abund_predator_scavenger,abundances_total,n_abund_generalistic_prop,n_abund_herbivorous_trophobiotic_prop,n_abund_predator_scavenger_prop
png,dry,200_1,243,0,510,753,0.8297121015560358,0,0.941283058240788
png,dry,200_2,62,0,23,85,0.9301328456980147,0,0.7134723942654773
png,wet,200_1,267,0,16,283,0.989734904921566,0,0.5015447450471032
png,wet,200_2,628,0,288,916,0.9447338695234899,0,0.8307194559181961
png,dry,700_1,52,5,51,108,0.8463008954402237,0.38192850204421025,0.8422406135236238
png,dry,700_2,6,26,18,50,0.49491262604822334,0.8382459381141667,0.7488732345249669
png,wet,700_1,209,4,9,222,0.9888917453927247,0.2976487488207718,0.4258390874777537
png,wet,700_2,270,0,55,325,0.968069494184919,0,0.6955975586670021
png,dry,1200_1,84,0,14,98,0.9668194522413147,0,0.5893317888156698
png,dry,1200_2,119,0,82,201,0.90189342657415,0,0.832444944319585
png,wet,1200_1,334,0,39,373,0.9814111224505994,0,0.6226738986732882
png,wet,1200_2,598,0,7,605,0.9981865763087295,0,0.32456383547081147
png,dry,1700_1,55,0,7,62,0.971571516874382,0,0.5019005364305223
png,dry,1700_2,14,0,6,20,0.8894827535339783,0,0.6391511932854698
png,wet,1700_1,194,0,7,201,0.9933559984447045,0,0.3917363743162159
png,wet,1700_2,62,0,38,100,0.897730560073701,0,0.7938171132824736
png,dry,2200_1,18,0,0,18,1,0,0
png,dry,2200_2,24,0,12,36,0.8914286900836977,0,0.7103316717558003
png,wet,2200_1,0,0,13,13,0,0,1
png,wet,2200_2,4,0,11,15,0.5804820237218407,0,0.8962406251802891
ecuador,wet,1000_10,233,1,1,235,0.9984423587746459,0.12686100255179733,0.12686100255179733
ecuador,dry,1000_10,279,14,1,294,0.990823636485009,0.47618462036823944,0.1218832748742664
ecuador,wet,1000_20,151,8,1,160,0.9886795381736242,0.43240498482606743,0.13640858525969027
ecuador,dry,1000_20,97,17,1,115,0.9645272929182507,0.6080397429513061,0.14581551052860536
ecuador,wet,1000_30,46,0,0,46,1,0,0
ecuador,dry,1000_30,511,38,1,550,0.9883692540429692,0.580436560930437,0.10981880600477434
ecuador,wet,1500_10,105,0,0,105,1,0,0
ecuador,dry,1500_10,162,6,0,168,0.9929533668937451,0.3793272064796495,0
ecuador,wet,1500_20,84,2,0,86,0.9947923554299918,0.24599975178152161,0
ecuador,dry,1500_20,88,36,0,124,0.9296488616831377,0.7478631483176431,0
ecuador,wet,1500_30,28,0,1,29,0.9900324656668077,0,0.2037950470905062
ecuador,dry,1500_30,179,18,0,197,0.9819770485773281,0.5567871217690253,0
ecuador,wet,2000_10,35,0,20,55,0.8902374783063123,0,0.7563370039767637
ecuador,dry,2000_10,38,0,2,40,0.9865330685183001,0,0.29583707248290936
ecuador,wet,2000_20,41,0,0,41,1,0,0
ecuador,dry,2000_20,20,0,1,21,0.9849500560613944,0,0.22424382421757547
ecuador,wet,2000_30,137,0,5,142,0.992828519175133,0,0.3610347699186826
ecuador,dry,2000_30,44,1,1,46,0.9887055987358966,0.18003132665669264,0.18003132665669264
ecuador,wet,2500_10,30,0,4,34,0.9658652669428301,0,0.45268083028694284
ecuador,dry,2500_10,14,0,0,14,1,0,0
ecuador,wet,2500_20,46,0,4,50,0.9792264361027443,0,0.4093360343955375
ecuador,dry,2500_20,24,0,9,33,0.9128039525166164,0,0.6529636084911308
ecuador,dry,2500_30,6,0,2,8,0.8856218745807111,0,0.5
tanzania,dry,1920_1,9,0,91,100,0.4989219858054781,0,0.9797769225198698
tanzania,wet,1620_1,0,0,70,70,0,0,1
tanzania,wet,1650_1,3,0,0,3,1,0,0
tanzania,dry,2020_1,39,0,2,41,0.986946367883676,0,0.29392974790871934
tanzania,wet,2040_1,24,0,2,26,0.9766490138119515,0,0.3333333333333333
tanzania,dry,871_1,3725,4,0,3729,0.9998695354883596,0.19569624436101232,0
tanzania,wet,912_1,1058,18,0,1076,0.9975860084153857,0.421722504623268,0
tanzania,dry,1130_1,91,25,0,116,0.949521928211779,0.6841615998555184,0
tanzania,wet,993_1,177,10,0,187,0.9895619176292131,0.45792453918508963,0
tanzania,wet,950_1,933,163,0,1096,0.9770213804841458,0.7285175382354071,0
