regions,seasons,et_pcode,n_occ_generalistic,n_occ_herbivorous_trophobiotic,n_occ_predator_scavenger,occurecnes_total,n_occ_generalistic_prop,n_occ_herbivorous_trophobiotic_prop,n_occ_predator_scavenger_prop
png,dry,200_1,15,0,5,20,0.75,0,0.25
png,dry,200_2,19,0,8,27,0.7037037037037037,0,0.2962962962962963
png,wet,200_1,36,0,5,41,0.8780487804878049,0,0.12195121951219512
png,wet,200_2,30,0,5,35,0.8571428571428571,0,0.14285714285714285
png,dry,700_1,2,3,5,10,0.2,0.3,0.5
png,dry,700_2,3,2,8,13,0.23076923076923078,0.15384615384615385,0.6153846153846154
png,wet,700_1,25,1,4,30,0.8333333333333334,0.03333333333333333,0.13333333333333333
png,wet,700_2,18,0,10,28,0.6428571428571429,0,0.35714285714285715
png,dry,1200_1,14,0,4,18,0.7777777777777778,0,0.2222222222222222
png,dry,1200_2,6,0,5,11,0.5454545454545454,0,0.45454545454545453
png,wet,1200_1,17,0,10,27,0.6296296296296297,0,0.37037037037037035
png,wet,1200_2,25,0,5,30,0.8333333333333334,0,0.16666666666666666
png,dry,1700_1,8,0,4,12,0.6666666666666666,0,0.3333333333333333
png,dry,1700_2,3,0,2,5,0.6,0,0.4
png,wet,1700_1,15,0,5,20,0.75,0,0.25
png,wet,1700_2,8,0,6,14,0.5714285714285714,0,0.42857142857142855
png,dry,2200_1,5,0,0,5,1,0,0
png,dry,2200_2,4,0,4,8,0.5,0,0.5
png,wet,2200_1,0,0,7,7,0,0,1
png,wet,2200_2,2,0,6,8,0.25,0,0.75
ecuador,wet,1000_10,15,1,1,17,0.8823529411764706,0.058823529411764705,0.058823529411764705
ecuador,dry,1000_10,22,8,1,31,0.7096774193548387,0.25806451612903225,0.03225806451612903
ecuador,wet,1000_20,13,2,1,16,0.8125,0.125,0.0625
ecuador,dry,1000_20,22,8,1,31,0.7096774193548387,0.25806451612903225,0.03225806451612903
ecuador,wet,1000_30,10,0,0,10,1,0,0
ecuador,dry,1000_30,25,8,1,34,0.7352941176470589,0.23529411764705882,0.029411764705882353
ecuador,wet,1500_10,12,0,0,12,1,0,0
ecuador,dry,1500_10,16,4,0,20,0.8,0.2,0
ecuador,wet,1500_20,11,1,0,12,0.9166666666666666,0.08333333333333333,0
ecuador,dry,1500_20,18,5,0,23,0.782608695652174,0.21739130434782608,0
ecuador,wet,1500_30,11,0,1,12,0.9166666666666666,0,0.08333333333333333
ecuador,dry,1500_30,16,5,0,21,0.7619047619047619,0.23809523809523808,0
ecuador,wet,2000_10,10,0,6,16,0.625,0,0.375
ecuador,dry,2000_10,8,0,2,10,0.8,0,0.2
ecuador,wet,2000_20,4,0,0,4,1,0,0
ecuador,dry,2000_20,4,0,1,5,0.8,0,0.2
ecuador,wet,2000_30,12,0,3,15,0.8,0,0.2
ecuador,dry,2000_30,8,1,1,10,0.8,0.1,0.1
ecuador,wet,2500_10,5,0,2,7,0.7142857142857143,0,0.2857142857142857
ecuador,dry,2500_10,6,0,0,6,1,0,0
ecuador,wet,2500_20,5,0,3,8,0.625,0,0.375
ecuador,dry,2500_20,9,0,4,13,0.6923076923076923,0,0.3076923076923077
ecuador,dry,2500_30,2,0,2,4,0.5,0,0.5
tanzania,dry,1920_1,4,0,22,26,0.15384615384615385,0,0.8461538461538461
tanzania,wet,1620_1,0,0,19,19,0,0,1
tanzania,wet,1650_1,3,0,0,3,1,0,0
tanzania,dry,2020_1,3,0,2,5,0.6,0,0.4
tanzania,wet,2040_1,2,0,2,4,0.5,0,0.5
tanzania,dry,871_1,24,2,0,26,0.9230769230769231,0.07692307692307693,0
tanzania,wet,912_1,19,2,0,21,0.9047619047619048,0.09523809523809523,0
tanzania,dry,1130_1,8,8,0,16,0.5,0.5,0
tanzania,wet,993_1,17,5,0,22,0.7727272727272727,0.22727272727272727,0
tanzania,wet,950_1,16,11,0,27,0.5925925925925926,0.4074074074074074,0
