regions,elevational_bands,seasons,n_traps_amino_acid,n_traps_cho,n_traps_cho_amino_acid,n_traps_h2o,n_traps_lipid,n_traps_nacl
ecuador,1000,dry,15,15,15,15,15,15
ecuador,1000,wet,15,15,15,15,15,15
ecuador,1500,dry,15,15,15,15,15,15
ecuador,1500,wet,15,15,15,15,15,15
ecuador,2000,dry,15,15,15,15,15,15
ecuador,2000,wet,15,15,15,15,15,15
ecuador,2500,dry,15,15,15,15,15,15
ecuador,2500,wet,15,15,15,15,15,15
ecuador,3000,dry,15,15,15,15,15,15
ecuador,3000,wet,15,15,15,15,15,15
png,200,dry,10,10,10,10,10,10
png,200,wet,10,10,10,10,10,10
png,700,dry,10,10,10,10,10,10
png,700,wet,10,10,10,10,10,10
png,1200,dry,10,10,10,10,10,10
png,1200,wet,10,10,10,10,10,10
png,1700,dry,10,10,10,10,10,10
png,1700,wet,10,10,10,10,10,10
png,2200,dry,10,10,10,10,10,10
png,2200,wet,10,10,10,10,10,10
png,2700,dry,10,10,10,10,10,10
png,2700,wet,10,10,10,10,10,10
png,3200,dry,10,10,10,10,10,10
png,3200,wet,10,10,10,10,10,10
png,3700,dry,10,10,10,10,10,10
png,3700,wet,10,10,10,10,10,10
tanzania,871,dry,5,5,5,5,5,5
tanzania,912,wet,5,5,5,5,5,5
tanzania,950,wet,5,5,5,5,5,5
tanzania,993,wet,5,5,5,5,5,5
tanzania,1130,dry,5,5,5,5,5,5
tanzania,1620,wet,5,5,5,5,5,5
tanzania,1650,wet,5,5,5,5,5,5
tanzania,1800,wet,5,5,5,5,5,5
tanzania,1920,dry,5,5,5,5,5,5
tanzania,2020,dry,5,5,5,5,5,5
tanzania,2040,wet,5,5,5,5,5,5
tanzania,2120,wet,5,5,5,5,5,5
tanzania,2260,wet,5,5,5,5,5,5
tanzania,2720,dry,5,5,5,5,5,5
tanzania,2850,wet,5,5,5,5,5,5
tanzania,3830,dry,5,5,5,5,5,5
tanzania,3849,dry,5,5,5,5,5,5
