var,mod_name,model_df,AICc,delta,weight,best_model_candidate,mod_r2_partial,d2,lr_number_df,lr_log_lik,lr_df,lr_chisq,lr_pr_chisq,lr_signif,best_model
Species richness,null,2,444.4124632051791,144.08897039159575,NA,FALSE,,0,2,-220.1272842341685,0,0,1,,FALSE
Species richness,elevation,3,347.22625720048825,46.90276438690489,NA,FALSE,,0.22566105699592273,3,-170.45312860024413,1,99.34831126784877,2.1177836916262124e-23,***,FALSE
Species richness,elevation-poly,4,317.95520794785983,17.631715134276476,NA,FALSE,,0.29719146701013205,4,-154.70733370365966,2,130.8399010610177,3.8768275069175966e-29,***,FALSE
Species richness,region,4,446.38629829202426,146.0628054784409,NA,FALSE,,0.005471404249667707,4,-218.92287887574187,2,2.4088107168532815,0.2998702618311999,,FALSE
Species richness,season,3,446.5171384618655,146.19364564828214,NA,FALSE,,1.304472697951132e-4,3,-220.09856923093275,1,0.0574300064715203,0.8106050224700035,,FALSE
Species richness,elevation + region,5,329.5142439900809,29.190751176497542,NA,FALSE,,0.27611807120910775,5,-159.34616309093087,3,121.56224228647528,3.5560137602384634e-26,***,FALSE
Species richness,elevation * region,7,328.4763344025586,28.152841588975264,NA,FALSE,,0.28927740442895644,7,-156.4494348069131,5,127.35569885451082,8.661582881368482e-26,***,FALSE
Species richness,elevation + season,4,349.30930003450976,48.985807220926404,NA,FALSE,,0.2259733710895558,4,-170.38437974698462,2,99.48580897436779,2.494198808223144e-22,***,FALSE
Species richness,elevation * season,5,350.95454529108434,50.63105247750099,NA,FALSE,,0.22741828968135416,5,-170.0663137414326,3,100.12194098547184,1.4631064087137448e-21,***,FALSE
Species richness,elevation-poly + region,6,300.32349281358336,0,NA,TRUE,,0.3477482195222946,6,-143.57841307345834,4,153.09774232142036,4.413906602973812e-32,***,TRUE
Species richness,elevation-poly * region,10,NA,NA,NA,NA,,NA,10,NA,8,NA,NA,,NA
Species richness,elevation-poly + season,5,320.1542353876508,19.830742574067415,NA,FALSE,,0.29737851748907246,5,-154.6661587897158,3,130.9222508889054,3.4223248626308485e-28,***,FALSE
Species richness,elevation-poly * season,7,320.05899197616094,19.735499162577582,NA,FALSE,,0.3083966663952364,7,-152.24076359371426,5,135.7730412809085,1.4153310079691184e-27,***,FALSE
Species richness,region + season,5,448.4545609963424,148.13106818275907,NA,FALSE,,0.005955475463515439,5,-218.81632159406163,3,2.621925280213759,0.45365872107966715,,FALSE
Species richness,region * season,7,451.57243664427637,151.248943830693,NA,FALSE,,0.009675303603577311,7,-217.99748592777198,5,4.259596612793075,0.5126773767337355,,FALSE
Species richness,elevation + region + season,6,331.7228384603097,31.399345646726317,NA,FALSE,,0.2764273340719383,6,-159.2780858968215,4,121.69839667469404,2.3166637799836735e-25,***,FALSE
Species richness,elevation + region * season,9,331.6092831144163,31.285790300832957,NA,FALSE,,0.29358918740076756,9,-155.5002937311212,7,129.25398100609465,8.998593559870282e-25,***,FALSE
Species richness,elevation * region + season,8,330.7587941170823,30.43530130349893,NA,FALSE,,0.2897253687841542,8,-156.3508256299697,6,127.55291720839762,4.2086600659507395e-25,***,FALSE
Species richness,elevation * region * season,13,329.5088703127896,29.185377499206254,NA,FALSE,,0.3233258854093751,13,-148.9544351563948,11,142.34569815554744,5.426521403766132e-25,***,FALSE
Species richness,elevation-poly + region + season,7,302.52503191864724,2.201539105063887,NA,FALSE,,0.3482235331975845,7,-143.47378356495742,5,153.3070013384222,2.6390030549447297e-31,***,FALSE
Species richness,elevation-poly + region * season,11,NA,NA,NA,NA,,NA,11,NA,9,NA,NA,,NA
Species richness,elevation-poly * region + season,11,NA,NA,NA,NA,,NA,11,NA,9,NA,NA,,NA
Species richness,elevation-poly * region * season,19,310.62225033310926,10.298757519525907,NA,FALSE,,0.41002112640294763,19,-129.87044720045293,17,180.51367406743117,2.2807274502691458e-29,***,FALSE
Species occurences,null,2,541.8589737703854,121.13208685775845,4.69512564107632e-27,FALSE,,0,2,-268.8505395167717,0,0,1,,FALSE
Species occurences,elevation,3,458.2026674838233,37.47578057119631,6.87675127692367e-09,FALSE,,0.15960245366062664,3,-225.94133374191165,1,85.81841154972005,1.972411383190944e-20,***,FALSE
Species occurences,elevation-poly,4,429.6335183835996,8.906631470972627,0.0109924682578587,FALSE,,0.21686417553796636,4,-210.54648892152954,2,116.60810119048426,4.773891606063524e-26,***,FALSE
Species occurences,region,4,546.1034246587467,125.37653774611971,5.62310792000291e-28,FALSE,,2.570106714042128e-4,4,-268.7814420591031,2,0.13819491533718065,0.9332357246681515,,FALSE
Species occurences,season,3,543.9818345584697,123.25494764584272,1.62432846631721e-27,FALSE,,7.298567290257035e-5,3,-268.8309172792348,1,0.039244475073701324,0.8429651165708265,,FALSE
