mod_name,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
null,1340.683,267.598,2,1336.653,1,394,0,0,1,,FALSE,FALSE
bait type,1309.98,236.894,7,1295.691,0.031,389,40.962,5,0,***,FALSE,FALSE
elevation,1146.657,73.571,4,1138.554,0.148,392,198.098,2,0,***,FALSE,FALSE
region,1336.479,263.394,4,1328.377,0.006,392,8.276,2,0.016,*,FALSE,FALSE
season,1342.34,269.255,3,1336.279,0,393,0.374,1,0.541,,FALSE,FALSE
bait type + elevation,1083.45,10.364,9,1064.983,0.203,387,271.669,7,0,***,FALSE,FALSE
bait type * elevation,1101.937,28.851,19,1061.915,0.206,377,274.737,17,0,***,FALSE,FALSE
bait type + region,1305.605,232.519,9,1287.138,0.037,387,49.514,7,0,***,FALSE,FALSE
bait type * region,1323.576,250.49,19,1283.554,0.04,377,53.098,17,0,***,FALSE,FALSE
bait type + season,1311.729,238.643,8,1295.356,0.031,388,41.296,6,0,***,FALSE,FALSE
bait type * season,1320.679,247.593,13,1293.726,0.032,383,42.927,11,0,***,FALSE,FALSE
elevation + region,1150.284,77.199,6,1138.068,0.149,390,198.584,4,0,***,FALSE,FALSE
elevation * region,1152.005,78.919,10,1131.433,0.154,386,205.22,8,0,***,FALSE,FALSE
elevation + season,1148.708,75.623,5,1138.554,0.148,391,198.098,3,0,***,FALSE,FALSE
elevation * season,1145.758,72.673,7,1131.47,0.154,389,205.183,5,0,***,FALSE,FALSE
region + season,1338.18,265.095,5,1328.027,0.006,391,8.626,3,0.035,*,FALSE,FALSE
region * season,1331.592,258.507,7,1317.303,0.014,389,19.349,5,0.002,**,FALSE,FALSE
bait type + elevation + region,1087.265,14.18,11,1064.578,0.204,385,272.075,9,0,***,FALSE,FALSE
bait type * elevation + region,1105.968,32.883,21,1061.497,0.206,375,275.155,19,0,***,FALSE,FALSE
bait type + elevation * region,1102.798,29.713,25,1049.284,0.215,371,287.368,23,0,***,FALSE,FALSE
bait type * elevation * region,1148.823,75.738,55,1020.706,0.236,341,315.947,53,0,***,FALSE,FALSE
bait type + elevation + season,1085.55,12.465,10,1064.979,0.203,386,271.674,8,0,***,FALSE,FALSE
bait type * elevation + season,1104.152,31.066,20,1061.912,0.206,376,274.741,18,0,***,FALSE,FALSE
bait type + elevation * season,1089.786,16.701,17,1054.167,0.211,379,282.486,15,0,***,FALSE,FALSE
bait type * elevation * season,1116.643,43.558,37,1034.789,0.226,359,301.864,35,0,***,FALSE,FALSE
elevation + region + season,1152.351,79.266,7,1138.063,0.149,389,198.59,5,0,***,FALSE,FALSE
elevation * region + season,1154.121,81.035,11,1131.433,0.154,385,205.22,9,0,***,FALSE,FALSE
elevation + region * season,1138.351,65.266,11,1115.664,0.165,385,220.989,9,0,***,FALSE,FALSE
elevation * region * season,1131.047,57.962,19,1091.026,0.184,377,245.627,17,0,***,FALSE,FALSE
bait type + region + season,1307.348,234.263,10,1286.777,0.037,386,49.876,8,0,***,FALSE,FALSE
bait type * region + season,1325.415,252.33,20,1283.175,0.04,376,53.478,18,0,***,FALSE,FALSE
bait type + region * season,1308.852,235.767,17,1273.233,0.047,379,63.419,15,0,***,FALSE,FALSE
bait type * region * season,1334.831,261.746,37,1252.976,0.063,359,83.677,35,0,***,FALSE,FALSE
bait type + elevation + region + season,1089.38,16.294,12,1064.565,0.204,384,272.087,10,0,***,FALSE,FALSE
bait type * elevation + region + season,1108.2,35.114,22,1061.486,0.206,374,275.166,20,0,***,FALSE,FALSE
bait type + elevation * region + season,1105.083,31.997,26,1049.278,0.215,370,287.375,24,0,***,FALSE,FALSE
bait type + elevation + region * season,1077.2,4.114,21,1032.729,0.227,375,303.924,19,0,***,FALSE,FALSE
bait type * elevation * region + season,1151.532,78.447,56,1020.7,0.236,340,315.952,54,0,***,FALSE,FALSE
bait type * elevation + region * season,1103.772,30.687,41,1012.043,0.243,355,324.609,39,0,***,FALSE,FALSE
bait type + elevation * region * season,1073.085,0,49,960.923,0.281,347,375.729,47,0,***,TRUE,TRUE
bait type * elevation * region * season,1182.875,109.789,109,881.029,0.341,287,455.624,107,0,***,FALSE,FALSE
