mod_name,model_df,AICc,delta,weight,best_model,r2,mod_r2_partial,d2,aov_df,aov_aic,aov_bic,aov_log_lik,aov_deviance,aov_chisq,aov_chi_df,aov_pr_chisq,aov_signif
null,2,826.9908249960534,122.25379774133751,2.08440911944942e-27,FALSE,0,,0,2,826.8329302592114,831.5718259641454,-411.4164651296057,822.8329302592114,0,0,1,
elevation,4,713.6453280445003,8.908300789784334,0.0085436785879484,FALSE,0.945121126519973,,0.14307660574323944,4,713.1047875039598,722.5825789138279,-352.5523937519799,705.1047875039598,117.72814275525161,2,2.7268334845266963e-26,***
region,4,825.1104387470424,120.37341149232645,5.33707923525255e-27,FALSE,0.3024195568376347,,0.0076115476452024,4,824.5698982065019,834.04768961637,-408.28494910325094,816.5698982065019,6.263032052709491,2,0.04365157013365767,*
season,3,829.0487673735903,124.31174011887435,7.44914546676246e-28,FALSE,0.008328974283694363,,1.2659056509601305e-4,3,828.7287673735902,835.8371109309913,-411.3643836867951,822.7287673735902,0.10416288562112186,1,0.7468900699103098,
elevation + region,6,716.4979973870287,11.760970132312764,0.00205208631814027,FALSE,0.944270663646954,,0.14523191178214456,6,715.3313307203621,729.5480178351642,-351.66566536018104,703.3313307203621,119.50159953884929,4,6.825105524995507e-25,***
elevation * region,10,704.7370272547159,0,0.734611698278678,TRUE,0.9579091991011941,,0.17176171726333303,10,701.5017331370689,725.1962116617391,-340.75086656853443,681.5017331370689,141.3311971221425,8,1.2541728493746316e-26,***
elevation + season,5,715.9214493840049,11.184422129288919,0.00273773515632247,FALSE,0.945052436128799,,0.1430829933439063,5,715.0995315757857,726.9467708381208,-352.54976578789285,705.0995315757857,117.73339868342566,3,2.3743794195881e-25,***
elevation * season,7,719.4738027907583,14.736775536042387,0.000463455127912504,FALSE,0.9490717923812416,,0.14454525078343386,7,717.8963380020259,734.482472969295,-351.94816900101296,703.8963380020259,118.93659225718545,5,5.271653297308171e-24,***
region + season,5,827.371398081827,122.63437082711107,1.72322731092417e-27,FALSE,0.30113381365637243,,0.007636361835475008,5,826.5494802736079,838.396719535943,-408.2747401368039,816.5494802736079,6.283449985603511,3,0.0986052815569281,
region * season,7,829.9001679773929,125.16314072267699,4.86661693648422e-28,FALSE,0.3625006117630287,,0.010342594173850014,7,828.3227031886605,844.9088381559296,-407.16135159433026,814.3227031886605,8.510227070550854,5,0.13026783655476204,
elevation + region + season,7,718.9087829957668,14.171755741050902,0.000614752327024382,FALSE,0.9442712474616048,,0.14523192698976106,7,717.3313182070344,733.9174531743035,-351.6656591035172,703.3313182070344,119.50161205217694,5,4.002122800535934e-24,***
elevation + region * season,11,722.6287624496255,17.89173519490953,9.57010949117957e-05,FALSE,0.9439575888825735,,0.1533050777115959,11,718.6884639421628,744.7523903193,-348.3442319710814,696.6884639421628,126.14446631704857,9,7.349322449483772e-23,***
elevation * region + season,11,707.1299251367681,2.392897882052125,0.22204789834811,FALSE,0.95834800321663,,0.1721410245276463,11,703.1896266293054,729.2535530064426,-340.5948133146527,681.1896266293054,141.64330362990597,9,4.7224827157779823e-26,***
elevation * region * season,19,711.2126706050052,6.4756433502892605,0.028832994760952,FALSE,0.9633028807848791,,0.19749041343692675,19,698.3313146728018,743.3508238696752,-330.1656573364009,660.3313146728018,162.50161558640957,17,8.535238278087453e-26,***
