regions,sel_bait_type,mod_name,model_df,AICc,delta,weight,best_model_candidate,mod_r2_partial,d2,lr_number_df,lr_log_lik,lr_df,lr_chisq,lr_pr_chisq,lr_signif,best_model
ecuador,amino_acid,null,2,39.9417235519446,2.9303265074905056,0.0674286262737148,FALSE,,0,2,-17.6708617759723,0,0,1,,FALSE
ecuador,amino_acid,elevation,3,38.54976667203683,1.538369627582739,0.135239609430889,TRUE,,0.11474015319837123,3,-15.643304388649995,1,4.055114774644608,0.04403772519822015,*,FALSE
ecuador,amino_acid,elevation-poly,4,40.52443764561354,3.513040601159446,0.0503859619265717,FALSE,,0.14259372837734713,4,-15.151107711695659,2,5.03950812855328,0.08047939707459385,,FALSE
ecuador,amino_acid,season,3,39.13037452097725,2.118977476523156,0.101164121705853,FALSE,,0.09831175665774834,3,-15.933608313120203,1,3.4745069257041905,0.06232129277580284,,FALSE
ecuador,amino_acid,elevation + season,4,37.01139704445409,0,0.291847937213453,TRUE,,0.24199580184996783,4,-13.394587411115936,2,8.552548729712726,0.013894330984796872,*,FALSE
ecuador,amino_acid,elevation * season,5,37.62229398557204,0.6108969411179501,0.215031479372838,TRUE,,0.3182878535775173,5,-12.04644111043308,3,11.248841331078438,0.010453657674953994,*,TRUE
ecuador,amino_acid,elevation-poly + season,5,39.21266752036857,2.2012704759144768,0.0970860468006635,FALSE,,0.2732879674667275,5,-12.841627877831343,3,9.658467796281911,0.021703935725350808,*,FALSE
ecuador,amino_acid,elevation-poly * season,7,40.89729437696903,3.8858973325149364,0.041816217276017,FALSE,,0.45020712751194514,7,-9.71531385515118,5,15.911095841642236,0.007102536691411403,**,FALSE
ecuador,cho,null,2,37.912602856429295,0,0.387130654741963,TRUE,,0,2,-16.656301428214647,0,0,1,,FALSE
ecuador,cho,elevation,3,38.86600554881826,0.9534026923889627,0.240341516917273,TRUE,,0.05132457555828297,3,-15.801423827040708,1,1.7097552023478784,0.1910171348224321,,TRUE
ecuador,cho,elevation-poly,4,41.599559143159745,3.6869562867304495,0.0612696186016994,FALSE,,0.05809410762144233,4,-15.688668460468762,2,1.9352659354917705,0.3799814026911055,,FALSE
ecuador,cho,season,3,39.649507053927856,1.7369041974985606,0.162440234504664,TRUE,,0.027804903184246815,3,-16.193174579595507,1,0.9262536972382804,0.33583829533429244,,FALSE
ecuador,cho,elevation + season,4,40.696687309685835,2.78408445325654,0.09622796564313,FALSE,,0.08519711837581383,4,-15.237232543731807,2,2.83813776896568,0.24193918538155132,,FALSE
ecuador,cho,elevation * season,5,42.97045231136829,5.057849454938996,0.0308716262504,FALSE,,0.11621914764368764,5,-14.720520273331203,3,3.8715623097668868,0.27567124470014504,,FALSE
