regions,sel_bait_type,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
ecuador,amino_acid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",39.942,2.93,2,35.342,1,21,0,0,1,,FALSE,FALSE
ecuador,amino_acid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",38.55,1.538,3,31.287,0.115,20,4.055,1,0.044,*,TRUE,FALSE
ecuador,amino_acid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",40.524,3.513,4,30.302,0.143,19,5.04,2,0.08,,FALSE,FALSE
ecuador,amino_acid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",39.13,2.119,3,31.867,0.098,20,3.475,1,0.062,,FALSE,FALSE
ecuador,amino_acid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",37.011,0,4,26.789,0.242,19,8.553,2,0.014,*,TRUE,FALSE
ecuador,amino_acid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",37.622,0.611,5,24.093,0.318,18,11.249,3,0.01,*,TRUE,TRUE
ecuador,amino_acid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",39.213,2.201,5,25.683,0.273,18,9.658,3,0.022,*,FALSE,FALSE
ecuador,amino_acid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",40.897,3.886,7,19.431,0.45,16,15.911,5,0.007,**,FALSE,FALSE
png,amino_acid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",35.175,0.801,2,30.469,1,18,0,0,1,,TRUE,FALSE
png,amino_acid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",37.846,3.472,3,30.346,0.004,17,0.123,1,0.726,,FALSE,FALSE
png,amino_acid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",40.818,6.445,4,30.151,0.01,16,0.318,2,0.853,,FALSE,FALSE
png,amino_acid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",34.373,0,3,26.873,0.118,17,3.596,1,0.058,,TRUE,TRUE
png,amino_acid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",37.448,3.075,4,26.781,0.121,16,3.687,2,0.158,,FALSE,FALSE
png,amino_acid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",41.007,6.634,5,26.721,0.123,15,3.747,3,0.29,,FALSE,FALSE
