regions,sel_bait_type,mod_name,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
ecuador,amino_acid,null,73.299,6.748,2,68.699,1,21,0,0,1,,FALSE,FALSE
ecuador,amino_acid,elevation,75.264,8.713,3,68,0.01,20,0.699,1,0.403,,FALSE,FALSE
ecuador,amino_acid,elevation-poly,78.122,11.571,4,67.9,0.012,19,0.799,2,0.671,,FALSE,FALSE
ecuador,amino_acid,season,66.551,0,3,59.288,0.137,20,9.411,1,0.002,**,TRUE,FALSE
ecuador,amino_acid,elevation + season,68.404,1.853,4,58.182,0.153,19,10.517,2,0.005,**,TRUE,TRUE
ecuador,amino_acid,elevation * season,71.045,4.494,5,57.515,0.163,18,11.183,3,0.011,*,FALSE,FALSE
ecuador,amino_acid,elevation-poly + season,71.71,5.159,5,58.18,0.153,18,10.519,3,0.015,*,FALSE,FALSE
ecuador,amino_acid,elevation-poly * season,70.275,3.724,7,48.808,0.29,16,19.891,5,0.001,**,FALSE,FALSE
png,amino_acid,null,70.441,5.781,2,65.735,1,18,0,0,1,,FALSE,FALSE
png,amino_acid,elevation,72.968,8.308,3,65.468,0.004,17,0.268,1,0.605,,FALSE,FALSE
png,amino_acid,elevation-poly,76.097,11.437,4,65.431,0.005,16,0.305,2,0.859,,FALSE,FALSE
png,amino_acid,season,64.66,0,3,57.16,0.13,17,8.575,1,0.003,**,TRUE,TRUE
png,amino_acid,elevation + season,67.433,2.773,4,56.766,0.136,16,8.969,2,0.011,*,FALSE,FALSE
png,amino_acid,elevation * season,70.787,6.127,5,56.501,0.14,15,9.234,3,0.026,*,FALSE,FALSE
png,amino_acid,elevation-poly + season,71.011,6.351,5,56.726,0.137,15,9.01,3,0.029,*,FALSE,FALSE
png,amino_acid,elevation-poly * season,79.78,15.12,7,56.446,0.141,13,9.289,5,0.098,,FALSE,FALSE
tanzania,amino_acid,null,38.045,0,2,32.33,1,8,0,0,1,,TRUE,FALSE
tanzania,amino_acid,elevation,38.446,0.401,3,28.446,0.12,7,3.885,1,0.049,*,TRUE,TRUE
tanzania,amino_acid,elevation-poly,43.989,5.944,4,27.989,0.134,6,4.341,2,0.114,,FALSE,FALSE
tanzania,amino_acid,season,42.307,4.263,3,32.307,0.001,7,0.023,1,0.879,,FALSE,FALSE
tanzania,amino_acid,elevation + season,44.37,6.325,4,28.37,0.123,6,3.961,2,0.138,,FALSE,FALSE
tanzania,amino_acid,elevation * season,53.131,15.087,5,28.131,0.13,5,4.199,3,0.241,,FALSE,FALSE
tanzania,amino_acid,elevation-poly + season,52.784,14.74,5,27.784,0.141,5,4.546,3,0.208,,FALSE,FALSE
