regions,sel_bait_type,mod_name,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
ecuador,amino_acid,null,68.404,0,4,58.182,1,19,0,0,1,,TRUE,TRUE
ecuador,amino_acid,g,76.912,8.508,7,55.445,0.047,16,2.737,3,0.434,,FALSE,FALSE
ecuador,amino_acid,ht,78.066,9.662,7,56.6,0.027,16,1.582,3,0.663,,FALSE,FALSE
ecuador,amino_acid,ps,77.885,9.48,7,56.418,0.03,16,1.764,3,0.623,,FALSE,FALSE
png,amino_acid,null,64.66,0,3,57.16,1,17,0,0,1,,TRUE,FALSE
png,amino_acid,g,71.044,6.384,5,56.758,0.007,15,0.402,2,0.818,,FALSE,FALSE
png,amino_acid,ht,66.51,1.85,5,52.224,0.086,15,4.936,2,0.085,,TRUE,FALSE
png,amino_acid,ps,66.576,1.916,5,52.29,0.085,15,4.87,2,0.088,,TRUE,TRUE
tanzania,amino_acid,null,38.446,0,3,28.446,1,7,0,0,1,,TRUE,TRUE
tanzania,amino_acid,g,46.96,8.514,5,21.96,0.228,5,6.486,2,0.039,*,FALSE,FALSE
tanzania,amino_acid,ht,52.774,14.328,5,27.774,0.024,5,0.672,2,0.715,,FALSE,FALSE
tanzania,amino_acid,ps,45.846,7.4,5,20.846,0.267,5,7.6,2,0.022,*,FALSE,FALSE
ecuador,cho,null,73.583,0.584,5,60.054,1,18,0,0,1,,TRUE,FALSE
ecuador,cho,g,85.34,12.341,9,53.494,0.109,14,6.56,4,0.161,,FALSE,FALSE
ecuador,cho,ht,81.753,8.754,9,49.907,0.169,14,10.147,4,0.038,*,FALSE,FALSE
ecuador,cho,ps,72.999,0,9,41.153,0.315,14,18.901,4,0.001,***,TRUE,TRUE
png,cho,null,69.22,0,3,61.72,1,17,0,0,1,,TRUE,TRUE
png,cho,g,75.958,6.738,5,61.672,0.001,15,0.048,2,0.976,,FALSE,FALSE
png,cho,ht,75.66,6.44,5,61.375,0.006,15,0.346,2,0.841,,FALSE,FALSE
png,cho,ps,75.72,6.499,5,61.434,0.005,15,0.286,2,0.867,,FALSE,FALSE
tanzania,cho,null,28.412,0,2,22.698,1,8,0,0,1,,TRUE,TRUE
tanzania,cho,g,28.412,0,2,22.698,1,8,0,0,1,,TRUE,FALSE
tanzania,cho,ht,28.412,0,2,22.698,1,8,0,0,1,,TRUE,FALSE
tanzania,cho,ps,28.412,0,2,22.698,1,8,0,0,1,,TRUE,FALSE
ecuador,cho_amino_acid,null,79.485,0.642,4,69.262,1,19,0,0,1,,TRUE,FALSE
ecuador,cho_amino_acid,g,82.02,3.178,7,60.554,0.126,16,8.709,3,0.033,*,FALSE,FALSE
ecuador,cho_amino_acid,ht,82.999,4.157,7,61.532,0.112,16,7.73,3,0.052,,FALSE,FALSE
ecuador,cho_amino_acid,ps,78.842,0,7,57.375,0.172,16,11.887,3,0.008,**,TRUE,TRUE
png,cho_amino_acid,null,72.788,0,3,65.288,1,17,0,0,1,,TRUE,TRUE
png,cho_amino_acid,g,76.531,3.743,5,62.245,0.047,15,3.043,2,0.218,,FALSE,FALSE
png,cho_amino_acid,ht,74.949,2.161,5,60.663,0.071,15,4.625,2,0.099,,FALSE,FALSE
png,cho_amino_acid,ps,78.635,5.847,5,64.349,0.014,15,0.939,2,0.625,,FALSE,FALSE
tanzania,cho_amino_acid,null,33.6,0,2,27.885,1,8,0,0,1,,TRUE,TRUE
tanzania,cho_amino_acid,g,33.6,0,2,27.885,1,8,0,0,1,,TRUE,FALSE
tanzania,cho_amino_acid,ht,33.6,0,2,27.885,1,8,0,0,1,,TRUE,FALSE
tanzania,cho_amino_acid,ps,33.6,0,2,27.885,1,8,0,0,1,,TRUE,FALSE
ecuador,h2o,null,61.307,0,2,56.707,1,21,0,0,1,,TRUE,TRUE
ecuador,h2o,g,61.307,0,2,56.707,1,21,0,0,1,,TRUE,FALSE
ecuador,h2o,ht,61.307,0,2,56.707,1,21,0,0,1,,TRUE,FALSE
ecuador,h2o,ps,61.307,0,2,56.707,1,21,0,0,1,,TRUE,FALSE
png,h2o,null,67.374,0,3,59.874,1,17,0,0,1,,TRUE,TRUE
png,h2o,g,72.32,4.945,5,58.034,0.031,15,1.84,2,0.398,,FALSE,FALSE
png,h2o,ht,73.698,6.323,5,59.412,0.008,15,0.463,2,0.794,,FALSE,FALSE
png,h2o,ps,72.75,5.376,5,58.465,0.024,15,1.41,2,0.494,,FALSE,FALSE
tanzania,h2o,null,33.628,0,3,23.628,1,7,0,0,1,,TRUE,TRUE
