regions,sel_bait_type,mod_name,term,chisq,df,pr_chisq,signif
ecuador,amino_acid,null,(Intercept),0.096,1,0.757,
ecuador,amino_acid,null,"poly(elevation_mean, 1)",1.083,1,0.298,
ecuador,amino_acid,null,seasons,8.744,1,0.003,**
png,amino_acid,ps,(Intercept),8.054,1,0.005,**
png,amino_acid,ps,seasons,4.271,1,0.039,*
png,amino_acid,ps,n_occ_predator_scavenger,4.104,1,0.043,*
png,amino_acid,ps,seasons:n_occ_predator_scavenger,1.625,1,0.202,
tanzania,amino_acid,null,(Intercept),0.01,1,0.92,
tanzania,amino_acid,null,"poly(elevation_mean, 1)",3.623,1,0.057,
ecuador,cho,ps,(Intercept),0.687,1,0.407,
ecuador,cho,ps,"poly(elevation_mean, 1)",13.854,1,0,***
ecuador,cho,ps,seasons,3.874,1,0.049,*
ecuador,cho,ps,n_occ_predator_scavenger,5.662,1,0.017,*
ecuador,cho,ps,"poly(elevation_mean, 1):seasons",14.563,1,0,***
ecuador,cho,ps,"poly(elevation_mean, 1):n_occ_predator_scavenger",11.2,1,0.001,***
ecuador,cho,ps,seasons:n_occ_predator_scavenger,2.775,1,0.096,
ecuador,cho,ps,"poly(elevation_mean, 1):seasons:n_occ_predator_scavenger",8.574,1,0.003,**
png,cho,null,(Intercept),6.667,1,0.01,**
png,cho,null,seasons,1.598,1,0.206,
tanzania,cho,null,(Intercept),16.656,1,0,***
ecuador,cho_amino_acid,ps,(Intercept),2.374,1,0.123,
ecuador,cho_amino_acid,ps,"poly(elevation_mean, 2)",2.869,2,0.238,
ecuador,cho_amino_acid,ps,n_occ_predator_scavenger,9.769,1,0.002,**
ecuador,cho_amino_acid,ps,"poly(elevation_mean, 2):n_occ_predator_scavenger",5.891,2,0.053,
png,cho_amino_acid,null,(Intercept),0.064,1,0.8,
png,cho_amino_acid,null,seasons,3.585,1,0.058,
tanzania,cho_amino_acid,null,(Intercept),5.713,1,0.017,*
ecuador,h2o,null,(Intercept),22.03,1,0,***
png,h2o,null,(Intercept),8.823,1,0.003,**
png,h2o,null,seasons,1.428,1,0.232,
tanzania,h2o,null,(Intercept),4.501,1,0.034,*
tanzania,h2o,null,"poly(elevation_mean, 1)",4.77,1,0.029,*
ecuador,lipid,ps,(Intercept),5.217,1,0.022,*
ecuador,lipid,ps,"poly(elevation_mean, 2)",11.156,2,0.004,**
ecuador,lipid,ps,n_occ_predator_scavenger,4.612,1,0.032,*
ecuador,lipid,ps,"poly(elevation_mean, 2):n_occ_predator_scavenger",6.232,2,0.044,*
png,lipid,null,(Intercept),0.97,1,0.325,
png,lipid,null,"poly(elevation_mean, 2)",5.531,2,0.063,
png,lipid,null,seasons,8.109,1,0.004,**
tanzania,lipid,null,(Intercept),0.519,1,0.471,
ecuador,nacl,g,(Intercept),0.287,1,0.592,
ecuador,nacl,g,seasons,3.848,1,0.05,*
ecuador,nacl,g,n_occ_generalistic_prop,0.095,1,0.757,
ecuador,nacl,g,seasons:n_occ_generalistic_prop,2.565,1,0.109,
png,nacl,g,(Intercept),1.859,1,0.173,
png,nacl,g,seasons,0.036,1,0.849,
png,nacl,g,n_occ_generalistic_prop,1.454,1,0.228,
png,nacl,g,seasons:n_occ_generalistic_prop,0.222,1,0.638,
tanzania,nacl,null,(Intercept),0.001,1,0.973,
tanzania,nacl,null,"poly(elevation_mean, 1)",3.542,1,0.06,
