regions,mod_name,parameter,coefficient,se,ci_low,ci_high
ecuador,null,(Intercept),-0.121,0.391,-0.887,0.645
ecuador,null,"poly(elevation_mean, 1)",1.611,1.548,-1.423,4.646
ecuador,null,seasonswet,-2.192,0.741,-3.644,-0.739
png,null,(Intercept),-1.345,0.402,-2.134,-0.556
png,null,seasonswet,1.492,0.495,0.522,2.463
tanzania,null,(Intercept),-0.053,0.533,-1.097,0.991
tanzania,null,"poly(elevation_mean, 1)",-3.27,1.718,-6.638,0.097
ecuador,null,(Intercept),0.218,0.362,-0.491,0.927
ecuador,null,"poly(elevation_mean, 1)",-4.274,1.792,-7.787,-0.761
ecuador,null,seasonswet,1.706,0.726,0.283,3.13
ecuador,null,"poly(elevation_mean, 1):seasonswet",8.978,3.431,2.254,15.703
png,null,(Intercept),1.429,0.553,0.344,2.513
png,null,seasonswet,-0.866,0.685,-2.209,0.477
ecuador,null,(Intercept),0.664,0.275,0.125,1.203
ecuador,null,"poly(elevation_mean, 2)1",-2.253,1.394,-4.986,0.48
ecuador,null,"poly(elevation_mean, 2)2",2.025,1.312,-0.547,4.597
png,null,(Intercept),-0.111,0.436,-0.965,0.744
png,null,seasonswet,1.247,0.658,-0.044,2.537
png,null,(Intercept),-1.271,0.428,-2.109,-0.432
png,null,seasonswet,0.673,0.563,-0.431,1.777
tanzania,null,(Intercept),-1.016,0.479,-1.954,-0.077
tanzania,null,"poly(elevation_mean, 1)",-3.395,1.554,-6.442,-0.348
ecuador,null,(Intercept),0.419,0.274,-0.118,0.957
ecuador,null,"poly(elevation_mean, 2)1",-5.604,1.427,-8.4,-2.807
ecuador,null,"poly(elevation_mean, 2)2",-1.603,1.345,-4.24,1.035
png,null,(Intercept),0.351,0.356,-0.348,1.05
png,null,"poly(elevation_mean, 2)1",-2.953,1.344,-5.587,-0.319
png,null,"poly(elevation_mean, 2)2",-1.624,1.283,-4.139,0.892
png,null,seasonswet,1.814,0.637,0.566,3.063
ecuador,g,(Intercept),1.834,3.426,-4.88,8.548
ecuador,g,seasonswet,-10.084,5.141,-20.16,-0.008
ecuador,g,n_occ_generalistic_prop,-1.375,4.451,-10.099,7.349
ecuador,g,seasonswet:n_occ_generalistic_prop,9.881,6.17,-2.211,21.973
png,g,(Intercept),-1.585,1.162,-3.863,0.693
png,g,seasonswet,0.324,1.703,-3.013,3.661
png,g,n_occ_generalistic_prop,2.172,1.801,-1.358,5.703
png,g,seasonswet:n_occ_generalistic_prop,1.187,2.519,-3.751,6.124
tanzania,null,(Intercept),-0.011,0.314,-0.626,0.605
tanzania,null,"poly(elevation_mean, 1)",-1.9,1.01,-3.878,0.079
