regions,sel_nutrient,mod_name,term,chisq,df,pr_chisq,signif
ecuador,amino_acid,g,(Intercept),0.193,1,0.661,
ecuador,amino_acid,g,n_occ_generalistic_prop,0.785,1,0.376,
png,amino_acid,ht,(Intercept),2.108,1,0.147,
png,amino_acid,ht,n_occ_herbivorous_trophobiotic_prop,1.166,1,0.28,
tanzania,amino_acid,null,(Intercept),0.011,1,0.917,
ecuador,cho,null,(Intercept),6.72,1,0.01,**
png,cho,null,(Intercept),7.11,1,0.008,**
tanzania,cho,null,(Intercept),16.656,1,0,***
ecuador,cho_amino_acid,g,(Intercept),5.127,1,0.024,*
ecuador,cho_amino_acid,g,n_occ_generalistic_prop,3.884,1,0.049,*
png,cho_amino_acid,ht,(Intercept),4.315,1,0.038,*
png,cho_amino_acid,ht,n_occ_herbivorous_trophobiotic_prop,3.064,1,0.08,
tanzania,cho_amino_acid,null,(Intercept),5.713,1,0.017,*
ecuador,h2o,g,(Intercept),0.002,1,0.96,
ecuador,h2o,g,n_occ_generalistic_prop,0.691,1,0.406,
png,h2o,g,(Intercept),5.36,1,0.021,*
png,h2o,g,n_occ_generalistic_prop,2.134,1,0.144,
tanzania,h2o,null,(Intercept),2.439,1,0.118,
ecuador,lipid,ps,(Intercept),8.002,1,0.005,**
ecuador,lipid,ps,n_occ_predator_scavenger_prop,5.13,1,0.024,*
png,lipid,null,(Intercept),10.38,1,0.001,**
tanzania,lipid,ps,(Intercept),0.078,1,0.78,
tanzania,lipid,ps,n_occ_predator_scavenger_prop,2.326,1,0.127,
ecuador,nacl,ht,(Intercept),1.136,1,0.287,
ecuador,nacl,ht,n_occ_herbivorous_trophobiotic_prop,2.511,1,0.113,
png,nacl,g,(Intercept),3.259,1,0.071,
png,nacl,g,n_occ_generalistic_prop,5.388,1,0.02,*
tanzania,nacl,null,(Intercept),0.191,1,0.662,
