regions,sel_nutrient,mod_name,parameter,coefficient,se,ci_low,ci_high
ecuador,amino_acid,g,(Intercept),0.921,2.098,-3.191,5.032
ecuador,amino_acid,g,n_occ_generalistic_prop,-2.339,2.64,-7.513,2.836
png,amino_acid,ht,(Intercept),-0.391,0.269,-0.919,0.137
png,amino_acid,ht,n_occ_herbivorous_trophobiotic_prop,-5.121,4.743,-14.418,4.175
tanzania,amino_acid,null,(Intercept),0.052,0.504,-0.935,1.04
ecuador,cho,null,(Intercept),0.785,0.303,0.192,1.379
png,cho,null,(Intercept),0.911,0.342,0.241,1.581
tanzania,cho,null,(Intercept),1.584,0.388,0.823,2.345
ecuador,cho_amino_acid,g,(Intercept),4.328,1.911,0.582,8.074
ecuador,cho_amino_acid,g,n_occ_generalistic_prop,-4.532,2.3,-9.039,-0.025
png,cho_amino_acid,ht,(Intercept),0.718,0.345,0.04,1.395
png,cho_amino_acid,ht,n_occ_herbivorous_trophobiotic_prop,-9.625,5.499,-20.402,1.152
tanzania,cho_amino_acid,null,(Intercept),1.097,0.459,0.197,1.996
ecuador,h2o,g,(Intercept),0.104,2.098,-4.008,4.216
ecuador,h2o,g,n_occ_generalistic_prop,-2.212,2.662,-7.43,3.005
png,h2o,g,(Intercept),-2.167,0.936,-4.001,-0.332
png,h2o,g,n_occ_generalistic_prop,1.93,1.321,-0.659,4.52
tanzania,h2o,null,(Intercept),-0.616,0.394,-1.389,0.157
ecuador,lipid,ps,(Intercept),1.057,0.374,0.324,1.789
ecuador,lipid,ps,n_occ_predator_scavenger_prop,-5.06,2.234,-9.439,-0.681
png,lipid,null,(Intercept),1.119,0.347,0.438,1.8
tanzania,lipid,ps,(Intercept),-0.099,0.354,-0.793,0.596
tanzania,lipid,ps,n_occ_predator_scavenger_prop,1.246,0.817,-0.355,2.846
ecuador,nacl,ht,(Intercept),-0.426,0.4,-1.211,0.358
ecuador,nacl,ht,n_occ_herbivorous_trophobiotic_prop,4.989,3.148,-1.181,11.16
png,nacl,g,(Intercept),-1.647,0.912,-3.435,0.141
png,nacl,g,n_occ_generalistic_prop,3.133,1.35,0.488,5.778
tanzania,nacl,null,(Intercept),0.128,0.292,-0.445,0.701
