guild,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
n_occ_generalistic_prop,null,n_occ_prop ~ 1,31.534,10.412,4,22.701,1,49,0,0,1,,FALSE,FALSE
n_occ_generalistic_prop,elevation,"n_occ_prop ~ poly(elevation_mean, elev_poly)",31.983,10.861,5,20.706,0.088,48,1.994,1,0.158,,FALSE,FALSE
n_occ_generalistic_prop,region,n_occ_prop ~ regions,30.108,8.986,6,16.282,0.283,47,6.419,2,0.04,*,FALSE,FALSE
n_occ_generalistic_prop,season,n_occ_prop ~ seasons,31.044,9.922,5,19.768,0.129,48,2.933,1,0.087,,FALSE,FALSE
n_occ_generalistic_prop,elevation + region,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions",22.948,1.826,7,6.459,0.715,46,16.241,3,0.001,**,TRUE,FALSE
n_occ_generalistic_prop,elevation * region,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + poly(elevation_mean, elev_poly):regions",25.02,3.898,9,2.834,0.875,44,19.867,5,0.001,**,FALSE,FALSE
n_occ_generalistic_prop,elevation + season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + seasons",31.922,10.799,6,18.096,0.203,47,4.605,2,0.1,,FALSE,FALSE
n_occ_generalistic_prop,elevation * season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + seasons + poly(elevation_mean, elev_poly):seasons",31.051,9.929,7,14.562,0.359,46,8.139,3,0.043,*,FALSE,FALSE
n_occ_generalistic_prop,region + season,n_occ_prop ~ regions + seasons,28.378,7.255,7,11.889,0.476,46,10.812,3,0.013,*,FALSE,FALSE
n_occ_generalistic_prop,region * season,n_occ_prop ~ regions + seasons + regions:seasons,34.045,12.923,9,11.859,0.478,44,10.842,5,0.055,,FALSE,FALSE
n_occ_generalistic_prop,elevation + region + season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons",21.122,0,8,1.85,0.919,45,20.851,4,0,***,TRUE,TRUE
n_occ_generalistic_prop,elevation + region * season,"n_occ_prop ~ poly(elevation_mean, elev_poly) + regions + seasons + poly(elevation_mean, elev_poly):seasons + regions:seasons",24.263,3.14,11,-4.176,1.184,42,26.877,7,0,***,FALSE,FALSE
