var,term,chisq,df,pr_chisq,signif
Species richness,(Intercept),68.359,1,0,***
Species richness,"poly(elevation_mean, 2)",168.905,2,0,***
Species richness,regions,21.659,2,0,***
Species richness,seasons,0.209,1,0.648,
Species occurences,(Intercept),27.696,1,0,***
Species occurences,"poly(elevation_mean, 2)",56.483,2,0,***
Species occurences,regions,1.549,2,0.461,
Species occurences,seasons,0.464,1,0.496,
Species occurences,"poly(elevation_mean, 2):regions",4.882,4,0.3,
Species occurences,"poly(elevation_mean, 2):seasons",10.843,2,0.004,**
Species occurences,regions:seasons,2.421,2,0.298,
Species occurences,"poly(elevation_mean, 2):regions:seasons",24.571,4,0,***
